,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1485,Bigger Than Life,Lil Uzi Vert,2oHDJHNondITqbl8xZ9vPn,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn,0.776,0.752,8,-4.711,0,0.193,0.325,0.0,0.33,0.716,140.013,audio_features,spotify:track:2oHDJHNondITqbl8xZ9vPn,https://api.spotify.com/v1/tracks/2oHDJHNondITqbl8xZ9vPn,https://api.spotify.com/v1/audio-analysis/2oHDJHNondITqbl8xZ9vPn,192705,4
1486,Chrome Heart Tags,Lil Uzi Vert,46mT9NR7N9Zf5MolcrBgE3,https://open.spotify.com/track/46mT9NR7N9Zf5MolcrBgE3,0.702,0.768,0,-4.055,1,0.0669,0.541,0.0,0.105,0.574,70.056,audio_features,spotify:track:46mT9NR7N9Zf5MolcrBgE3,https://api.spotify.com/v1/tracks/46mT9NR7N9Zf5MolcrBgE3,https://api.spotify.com/v1/audio-analysis/46mT9NR7N9Zf5MolcrBgE3,212821,4
1487,Bust Me,Lil Uzi Vert,4wBcaYqLPm7EtDVoJQORU4,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4,0.734,0.703,11,-6.256,1,0.355,0.237,1.99e-06,0.413,0.608,151.923,audio_features,spotify:track:4wBcaYqLPm7EtDVoJQORU4,https://api.spotify.com/v1/tracks/4wBcaYqLPm7EtDVoJQORU4,https://api.spotify.com/v1/audio-analysis/4wBcaYqLPm7EtDVoJQORU4,194452,4
1488,Prices,Lil Uzi Vert,4YcWzLSnGqLjSCycuSMHnn,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn,0.786,0.683,7,-5.397,1,0.205,0.173,0.0,0.706,0.57,126.002,audio_features,spotify:track:4YcWzLSnGqLjSCycuSMHnn,https://api.spotify.com/v1/tracks/4YcWzLSnGqLjSCycuSMHnn,https://api.spotify.com/v1/audio-analysis/4YcWzLSnGqLjSCycuSMHnn,233333,4
1489,Urgency (feat. Syd),Lil Uzi Vert,5KlPy74NOEAt8jC3FYURnQ,https://open.spotify.com/track/5KlPy74NOEAt8jC3FYURnQ,0.619,0.784,1,-6.11,1,0.123,0.0326,2.85e-06,0.315,0.471,156.035,audio_features,spotify:track:5KlPy74NOEAt8jC3FYURnQ,https://api.spotify.com/v1/tracks/5KlPy74NOEAt8jC3FYURnQ,https://api.spotify.com/v1/audio-analysis/5KlPy74NOEAt8jC3FYURnQ,181161,4
1490,Venetia,Lil Uzi Vert,3BYIzNZ3t9lRQCACXSMLrT,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT,0.775,0.757,9,-4.139,1,0.175,0.162,0.0,0.148,0.562,142.933,audio_features,spotify:track:3BYIzNZ3t9lRQCACXSMLrT,https://api.spotify.com/v1/tracks/3BYIzNZ3t9lRQCACXSMLrT,https://api.spotify.com/v1/audio-analysis/3BYIzNZ3t9lRQCACXSMLrT,188800,4
1491,Secure The Bag,Lil Uzi Vert,7gHZGXSJzM29WA384suYY2,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2,0.803,0.719,0,-4.485,1,0.392,0.344,0.0,0.425,0.549,129.945,audio_features,spotify:track:7gHZGXSJzM29WA384suYY2,https://api.spotify.com/v1/tracks/7gHZGXSJzM29WA384suYY2,https://api.spotify.com/v1/audio-analysis/7gHZGXSJzM29WA384suYY2,238425,4
1492,P2,Lil Uzi Vert,3kW4z2pIj5VY5fLjBrMRL5,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,11,-5.353,0,0.193,0.0236,0.0,0.114,0.49,155.086,audio_features,spotify:track:3kW4z2pIj5VY5fLjBrMRL5,https://api.spotify.com/v1/tracks/3kW4z2pIj5VY5fLjBrMRL5,https://api.spotify.com/v1/audio-analysis/3kW4z2pIj5VY5fLjBrMRL5,234627,4
1493,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,2fOlBMkWR7lXJfqp5VTbDG,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG,0.879,0.448,7,-8.57,0,0.222,0.0346,0.0,0.224,0.278,136.985,audio_features,spotify:track:2fOlBMkWR7lXJfqp5VTbDG,https://api.spotify.com/v1/tracks/2fOlBMkWR7lXJfqp5VTbDG,https://api.spotify.com/v1/audio-analysis/2fOlBMkWR7lXJfqp5VTbDG,198913,4
1494,That Way - Bonus Track,Lil Uzi Vert,2ajzBr7vwHTEBeqDzcsNRC,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,7,-5.368,0,0.0388,0.0546,0.0,0.154,0.504,130.007,audio_features,spotify:track:2ajzBr7vwHTEBeqDzcsNRC,https://api.spotify.com/v1/tracks/2ajzBr7vwHTEBeqDzcsNRC,https://api.spotify.com/v1/audio-analysis/2ajzBr7vwHTEBeqDzcsNRC,212354,4
1495,Woah,Lil Baby,02RCbjb9czvQKNGBmEmWob,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,0.883,0.599,11,-5.551,1,0.248,0.0177,0.0,0.179,0.413,142.976,audio_features,spotify:track:02RCbjb9czvQKNGBmEmWob,https://api.spotify.com/v1/tracks/02RCbjb9czvQKNGBmEmWob,https://api.spotify.com/v1/audio-analysis/02RCbjb9czvQKNGBmEmWob,183011,4
1496,Sum 2 Prove,Lil Baby,5f4Hy5mw5SRaUgXX9c6P5S,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011,audio_features,spotify:track:5f4Hy5mw5SRaUgXX9c6P5S,https://api.spotify.com/v1/tracks/5f4Hy5mw5SRaUgXX9c6P5S,https://api.spotify.com/v1/audio-analysis/5f4Hy5mw5SRaUgXX9c6P5S,205760,4
1497,Heatin Up (feat. Gunna),Lil Baby,7KSSdFCBHCfq4KPzz78ghk,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk,0.788,0.436,1,-9.435,1,0.364,0.0611,0.0,0.0979,0.341,129.847,audio_features,spotify:track:7KSSdFCBHCfq4KPzz78ghk,https://api.spotify.com/v1/tracks/7KSSdFCBHCfq4KPzz78ghk,https://api.spotify.com/v1/audio-analysis/7KSSdFCBHCfq4KPzz78ghk,177314,4
