,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
31,Dancing In the Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,audio_features,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/audio-analysis/7FwBtcecmlpc1sLySPXeGE,241307,4
32,The Way to Your Heart,Soulsister,0DUtmZD5TK6JwChuMql5ac,https://open.spotify.com/track/0DUtmZD5TK6JwChuMql5ac,0.728,0.652,10,-9.177,0,0.0245,0.244,1.59e-06,0.125,0.718,98.706,audio_features,spotify:track:0DUtmZD5TK6JwChuMql5ac,https://api.spotify.com/v1/tracks/0DUtmZD5TK6JwChuMql5ac,https://api.spotify.com/v1/audio-analysis/0DUtmZD5TK6JwChuMql5ac,228293,4
33,Your Love,The Outfield,4oDZ5L8izBals6jKBJDBcX,https://open.spotify.com/track/4oDZ5L8izBals6jKBJDBcX,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,audio_features,spotify:track:4oDZ5L8izBals6jKBJDBcX,https://api.spotify.com/v1/tracks/4oDZ5L8izBals6jKBJDBcX,https://api.spotify.com/v1/audio-analysis/4oDZ5L8izBals6jKBJDBcX,216467,4
34,Who Can It Be Now?,Men At Work,5cOM0fTHceCkJVwuyHdMnk,https://open.spotify.com/track/5cOM0fTHceCkJVwuyHdMnk,0.816,0.791,4,-4.21,1,0.0372,0.0353,0.000345,0.17,0.963,128.521,audio_features,spotify:track:5cOM0fTHceCkJVwuyHdMnk,https://api.spotify.com/v1/tracks/5cOM0fTHceCkJVwuyHdMnk,https://api.spotify.com/v1/audio-analysis/5cOM0fTHceCkJVwuyHdMnk,200493,4
35,Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077,audio_features,spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,https://api.spotify.com/v1/tracks/1mCsF9Tw4AkIZOjvZbZZdT,https://api.spotify.com/v1/audio-analysis/1mCsF9Tw4AkIZOjvZbZZdT,184480,4
36,Driver's Seat,Sniff 'n' The Tears,0fJFBbpUxTwjhh1ScBQjeX,https://open.spotify.com/track/0fJFBbpUxTwjhh1ScBQjeX,0.754,0.804,11,-7.189,0,0.0368,0.0186,0.0604,0.207,0.972,132.967,audio_features,spotify:track:0fJFBbpUxTwjhh1ScBQjeX,https://api.spotify.com/v1/tracks/0fJFBbpUxTwjhh1ScBQjeX,https://api.spotify.com/v1/audio-analysis/0fJFBbpUxTwjhh1ScBQjeX,240747,4
37,If I Was,Midge Ure,1NX2Mm24mEAb3IZwGAMlyi,https://open.spotify.com/track/1NX2Mm24mEAb3IZwGAMlyi,0.529,0.751,0,-9.826,1,0.0616,0.0299,1.98e-06,0.0753,0.672,127.058,audio_features,spotify:track:1NX2Mm24mEAb3IZwGAMlyi,https://api.spotify.com/v1/tracks/1NX2Mm24mEAb3IZwGAMlyi,https://api.spotify.com/v1/audio-analysis/1NX2Mm24mEAb3IZwGAMlyi,319787,4
38,"Baby, I Love Your Way",Peter Frampton,5oebnrKsdSG811HL8RmBE6,https://open.spotify.com/track/5oebnrKsdSG811HL8RmBE6,0.51,0.59,7,-9.842,1,0.0339,0.46,2.13e-05,0.416,0.417,71.847,audio_features,spotify:track:5oebnrKsdSG811HL8RmBE6,https://api.spotify.com/v1/tracks/5oebnrKsdSG811HL8RmBE6,https://api.spotify.com/v1/audio-analysis/5oebnrKsdSG811HL8RmBE6,290573,4
39,The Passenger,Iggy Pop,3yP0cohcr97BUNJcgvmSVg,https://open.spotify.com/track/3yP0cohcr97BUNJcgvmSVg,0.5,0.846,0,-8.098,1,0.0457,0.0797,0.0,0.241,0.738,134.937,audio_features,spotify:track:3yP0cohcr97BUNJcgvmSVg,https://api.spotify.com/v1/tracks/3yP0cohcr97BUNJcgvmSVg,https://api.spotify.com/v1/audio-analysis/3yP0cohcr97BUNJcgvmSVg,284067,4
40,Hungry Eyes,Eric Carmen,25BxqC9Yo7TQ175DLAyMJs,https://open.spotify.com/track/25BxqC9Yo7TQ175DLAyMJs,0.703,0.517,5,-12.093,1,0.0254,0.0215,0.0,0.0953,0.689,110.52,audio_features,spotify:track:25BxqC9Yo7TQ175DLAyMJs,https://api.spotify.com/v1/tracks/25BxqC9Yo7TQ175DLAyMJs,https://api.spotify.com/v1/audio-analysis/25BxqC9Yo7TQ175DLAyMJs,248267,4
