,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
831,End Of The World,Herman's Hermits,0UURwtLDx1nUUgt0XIyZUG,https://open.spotify.com/track/0UURwtLDx1nUUgt0XIyZUG,0.345,0.246,5,-11.237,1,0.0292,0.792,3.73e-05,0.0906,0.378,179.604,audio_features,spotify:track:0UURwtLDx1nUUgt0XIyZUG,https://api.spotify.com/v1/tracks/0UURwtLDx1nUUgt0XIyZUG,https://api.spotify.com/v1/audio-analysis/0UURwtLDx1nUUgt0XIyZUG,179973,3
832,I Want To Hold Your Hand - Remastered 2015,The Beatles,4pbG9SUmWIvsROVLF0zF9s,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,audio_features,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/tracks/4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/audio-analysis/4pbG9SUmWIvsROVLF0zF9s,145747,4
833,What A Wonderful World,Louis Armstrong,29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,audio_features,spotify:track:29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9,139227,4
834,Shenandoah,Suzy Bogguss,1cDWZCWv2lBRaJXm9GZiFQ,https://open.spotify.com/track/1cDWZCWv2lBRaJXm9GZiFQ,0.42,0.147,9,-9.762,1,0.0329,0.868,0.000144,0.0995,0.195,124.336,audio_features,spotify:track:1cDWZCWv2lBRaJXm9GZiFQ,https://api.spotify.com/v1/tracks/1cDWZCWv2lBRaJXm9GZiFQ,https://api.spotify.com/v1/audio-analysis/1cDWZCWv2lBRaJXm9GZiFQ,165267,4
835,Colder Weather,Zac Brown Band,23hDnIFoFlVTDA6y8YrJoR,https://open.spotify.com/track/23hDnIFoFlVTDA6y8YrJoR,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,audio_features,spotify:track:23hDnIFoFlVTDA6y8YrJoR,https://api.spotify.com/v1/tracks/23hDnIFoFlVTDA6y8YrJoR,https://api.spotify.com/v1/audio-analysis/23hDnIFoFlVTDA6y8YrJoR,273893,4
836,Tequila Makes Her Clothes Fall Off,Joe Nichols,6IC6VhpV7D8T1t037Atqpu,https://open.spotify.com/track/6IC6VhpV7D8T1t037Atqpu,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,audio_features,spotify:track:6IC6VhpV7D8T1t037Atqpu,https://api.spotify.com/v1/tracks/6IC6VhpV7D8T1t037Atqpu,https://api.spotify.com/v1/audio-analysis/6IC6VhpV7D8T1t037Atqpu,187053,4
837,A Different World,Bucky Covington,0E0B8a7LSVgbQL160oUnwO,https://open.spotify.com/track/0E0B8a7LSVgbQL160oUnwO,0.62,0.686,9,-5.027,1,0.0276,0.0327,0.0,0.101,0.464,128.962,audio_features,spotify:track:0E0B8a7LSVgbQL160oUnwO,https://api.spotify.com/v1/tracks/0E0B8a7LSVgbQL160oUnwO,https://api.spotify.com/v1/audio-analysis/0E0B8a7LSVgbQL160oUnwO,208573,4
838,In My Life - Remastered 2009,The Beatles,3KfbEIOC7YIv90FIfNSZpo,https://open.spotify.com/track/3KfbEIOC7YIv90FIfNSZpo,0.688,0.435,9,-11.359,1,0.0323,0.449,0.0,0.113,0.435,103.239,audio_features,spotify:track:3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/tracks/3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/audio-analysis/3KfbEIOC7YIv90FIfNSZpo,146333,4
839,Because the Night,Patti Smith,0lIoY4ZQsdn5QzhraM9o9u,https://open.spotify.com/track/0lIoY4ZQsdn5QzhraM9o9u,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,audio_features,spotify:track:0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/tracks/0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/audio-analysis/0lIoY4ZQsdn5QzhraM9o9u,204800,4
840,The Way You Look Tonight,Frank Sinatra,0elmUoU7eMPwZX1Mw1MnQo,https://open.spotify.com/track/0elmUoU7eMPwZX1Mw1MnQo,0.622,0.24,5,-14.067,0,0.0363,0.798,0.0,0.142,0.587,132.234,audio_features,spotify:track:0elmUoU7eMPwZX1Mw1MnQo,https://api.spotify.com/v1/tracks/0elmUoU7eMPwZX1Mw1MnQo,https://api.spotify.com/v1/audio-analysis/0elmUoU7eMPwZX1Mw1MnQo,202160,4
