,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
478,I Wanna Rock,Twisted Sister,70Z9t1qhytWtG4cCmmi7mU,https://open.spotify.com/track/70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,audio_features,spotify:track:70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/tracks/70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/audio-analysis/70Z9t1qhytWtG4cCmmi7mU,179760,4
479,Cum on Feel the Noize,Quiet Riot,3vV3cr2TpPqFk07zxYUbla,https://open.spotify.com/track/3vV3cr2TpPqFk07zxYUbla,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,audio_features,spotify:track:3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/tracks/3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/audio-analysis/3vV3cr2TpPqFk07zxYUbla,290960,4
480,18 and Life,Skid Row,0qgrrDnUUhyxpxbBznUnzg,https://open.spotify.com/track/0qgrrDnUUhyxpxbBznUnzg,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,audio_features,spotify:track:0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/tracks/0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/audio-analysis/0qgrrDnUUhyxpxbBznUnzg,229960,4
481,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,1cU34sZG9kF4FYHCoAD0Ib,https://open.spotify.com/track/1cU34sZG9kF4FYHCoAD0Ib,0.855,0.691,2,-6.51,1,0.0514,0.144,0.0,0.36,0.647,121.472,audio_features,spotify:track:1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/tracks/1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/audio-analysis/1cU34sZG9kF4FYHCoAD0Ib,202733,4
482,Mississippi Queen,Mountain,4vO9dmzNRqDhFY3jD1a3P7,https://open.spotify.com/track/4vO9dmzNRqDhFY3jD1a3P7,0.581,0.624,9,-8.346,1,0.0777,0.0987,0.0,0.0411,0.637,139.714,audio_features,spotify:track:4vO9dmzNRqDhFY3jD1a3P7,https://api.spotify.com/v1/tracks/4vO9dmzNRqDhFY3jD1a3P7,https://api.spotify.com/v1/audio-analysis/4vO9dmzNRqDhFY3jD1a3P7,151293,4
483,All Right Now,Free,1gcESexgftSuLuML57Y69q,https://open.spotify.com/track/1gcESexgftSuLuML57Y69q,0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,audio_features,spotify:track:1gcESexgftSuLuML57Y69q,https://api.spotify.com/v1/tracks/1gcESexgftSuLuML57Y69q,https://api.spotify.com/v1/audio-analysis/1gcESexgftSuLuML57Y69q,330643,4
484,Black Water,The Doobie Brothers,4p8QcNkaq2FQj8uGJ7HEDK,https://open.spotify.com/track/4p8QcNkaq2FQj8uGJ7HEDK,0.532,0.441,2,-12.866,1,0.0434,0.228,0.0,0.0846,0.67,169.275,audio_features,spotify:track:4p8QcNkaq2FQj8uGJ7HEDK,https://api.spotify.com/v1/tracks/4p8QcNkaq2FQj8uGJ7HEDK,https://api.spotify.com/v1/audio-analysis/4p8QcNkaq2FQj8uGJ7HEDK,255267,4
485,China Grove,The Doobie Brothers,7cy1bEJV6FCtDaYpsk8aG6,https://open.spotify.com/track/7cy1bEJV6FCtDaYpsk8aG6,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,audio_features,spotify:track:7cy1bEJV6FCtDaYpsk8aG6,https://api.spotify.com/v1/tracks/7cy1bEJV6FCtDaYpsk8aG6,https://api.spotify.com/v1/audio-analysis/7cy1bEJV6FCtDaYpsk8aG6,195307,4
486,Come Sail Away,Styx,11G0yprQtMU53BLPMSr093,https://open.spotify.com/track/11G0yprQtMU53BLPMSr093,0.285,0.56,0,-7.469,1,0.0305,0.13,1.1e-06,0.0987,0.122,147.696,audio_features,spotify:track:11G0yprQtMU53BLPMSr093,https://api.spotify.com/v1/tracks/11G0yprQtMU53BLPMSr093,https://api.spotify.com/v1/audio-analysis/11G0yprQtMU53BLPMSr093,365000,4
487,You Can Call Me Al,Paul Simon,4G0piDzNWqkXfnZyYGAyQT,https://open.spotify.com/track/4G0piDzNWqkXfnZyYGAyQT,0.776,0.778,5,-8.11,1,0.0521,0.196,0.00682,0.0853,0.842,128.459,audio_features,spotify:track:4G0piDzNWqkXfnZyYGAyQT,https://api.spotify.com/v1/tracks/4G0piDzNWqkXfnZyYGAyQT,https://api.spotify.com/v1/audio-analysis/4G0piDzNWqkXfnZyYGAyQT,280000,4
488,Your Love,The Outfield,5dRQUolXAVX3BbCiIxmSsf,https://open.spotify.com/track/5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,audio_features,spotify:track:5dRQUolXAVX3BbCiIxmSsf,https://api.spotify.com/v1/tracks/5dRQUolXAVX3BbCiIxmSsf,https://api.spotify.com/v1/audio-analysis/5dRQUolXAVX3BbCiIxmSsf,221840,4
