,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
77,Ruby,Kaiser Chiefs,2fAIfPLrPUTW1AmJRR428Q,https://open.spotify.com/track/2fAIfPLrPUTW1AmJRR428Q,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,audio_features,spotify:track:2fAIfPLrPUTW1AmJRR428Q,https://api.spotify.com/v1/tracks/2fAIfPLrPUTW1AmJRR428Q,https://api.spotify.com/v1/audio-analysis/2fAIfPLrPUTW1AmJRR428Q,204200,4
78,She's So Lovely,Scouting For Girls,0IfvvQWe8SjqiCYOMvvnwK,https://open.spotify.com/track/0IfvvQWe8SjqiCYOMvvnwK,0.504,0.859,0,-3.335,1,0.0624,0.0673,0.0,0.0468,0.643,167.125,audio_features,spotify:track:0IfvvQWe8SjqiCYOMvvnwK,https://api.spotify.com/v1/tracks/0IfvvQWe8SjqiCYOMvvnwK,https://api.spotify.com/v1/audio-analysis/0IfvvQWe8SjqiCYOMvvnwK,223813,4
79,Year 3000,Busted,0zjB7ewBWnMgQDMQpFzt92,https://open.spotify.com/track/0zjB7ewBWnMgQDMQpFzt92,0.592,0.842,11,-6.681,1,0.0353,0.000219,0.0,0.0934,0.898,107.015,audio_features,spotify:track:0zjB7ewBWnMgQDMQpFzt92,https://api.spotify.com/v1/tracks/0zjB7ewBWnMgQDMQpFzt92,https://api.spotify.com/v1/audio-analysis/0zjB7ewBWnMgQDMQpFzt92,196200,4
80,I Want It That Way,Backstreet Boys,47BBI51FKFwOMlIiX6m8ya,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,audio_features,spotify:track:47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/tracks/47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/audio-analysis/47BBI51FKFwOMlIiX6m8ya,213307,4
81,Dancing in the Moonlight,Toploader,3Fzlg5r1IjhLk2qRw667od,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,audio_features,spotify:track:3Fzlg5r1IjhLk2qRw667od,https://api.spotify.com/v1/tracks/3Fzlg5r1IjhLk2qRw667od,https://api.spotify.com/v1/audio-analysis/3Fzlg5r1IjhLk2qRw667od,232693,4
82,All About You,McFly,0ElmwRAsaxaUZXnMbaSllH,https://open.spotify.com/track/0ElmwRAsaxaUZXnMbaSllH,0.542,0.559,1,-5.313,1,0.0258,0.197,0.0,0.0989,0.295,129.898,audio_features,spotify:track:0ElmwRAsaxaUZXnMbaSllH,https://api.spotify.com/v1/tracks/0ElmwRAsaxaUZXnMbaSllH,https://api.spotify.com/v1/audio-analysis/0ElmwRAsaxaUZXnMbaSllH,186867,4
83,Don't Stop Movin',S Club 7,4dzreTCcGVgeF1vCcd22AC,https://open.spotify.com/track/4dzreTCcGVgeF1vCcd22AC,0.822,0.672,7,-6.133,1,0.0329,0.0285,0.0,0.213,0.91,117.033,audio_features,spotify:track:4dzreTCcGVgeF1vCcd22AC,https://api.spotify.com/v1/tracks/4dzreTCcGVgeF1vCcd22AC,https://api.spotify.com/v1/audio-analysis/4dzreTCcGVgeF1vCcd22AC,233627,4
84,Uptown Girl - Radio Edit,Westlife,2sFp6E7lNBbblJGmUtCfFH,https://open.spotify.com/track/2sFp6E7lNBbblJGmUtCfFH,0.645,0.921,6,-5.256,0,0.0302,0.00809,1.08e-05,0.407,0.864,129.0,audio_features,spotify:track:2sFp6E7lNBbblJGmUtCfFH,https://api.spotify.com/v1/tracks/2sFp6E7lNBbblJGmUtCfFH,https://api.spotify.com/v1/audio-analysis/2sFp6E7lNBbblJGmUtCfFH,186440,4
85,Everybody in Love,JLS,2OsqzlVFiUGbbYwIPTKTSW,https://open.spotify.com/track/2OsqzlVFiUGbbYwIPTKTSW,0.716,0.745,5,-6.984,0,0.0328,0.0638,0.0,0.364,0.695,139.978,audio_features,spotify:track:2OsqzlVFiUGbbYwIPTKTSW,https://api.spotify.com/v1/tracks/2OsqzlVFiUGbbYwIPTKTSW,https://api.spotify.com/v1/audio-analysis/2OsqzlVFiUGbbYwIPTKTSW,195093,4
86,Dog Days Are Over,Florence + The Machine,6eN9yBWv9zFVZFXGsPrMxj,https://open.spotify.com/track/6eN9yBWv9zFVZFXGsPrMxj,0.5,0.811,7,-5.287,1,0.096,0.0443,0.00508,0.12,0.228,150.023,audio_features,spotify:track:6eN9yBWv9zFVZFXGsPrMxj,https://api.spotify.com/v1/tracks/6eN9yBWv9zFVZFXGsPrMxj,https://api.spotify.com/v1/audio-analysis/6eN9yBWv9zFVZFXGsPrMxj,252853,4
87,Trumpets,Jason Derulo,0C6BYlsXKgAQPnMfbYOnV4,https://open.spotify.com/track/0C6BYlsXKgAQPnMfbYOnV4,0.627,0.703,0,-4.884,1,0.236,0.563,0.0,0.0962,0.64,81.897,audio_features,spotify:track:0C6BYlsXKgAQPnMfbYOnV4,https://api.spotify.com/v1/tracks/0C6BYlsXKgAQPnMfbYOnV4,https://api.spotify.com/v1/audio-analysis/0C6BYlsXKgAQPnMfbYOnV4,217307,4
88,Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,audio_features,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600,4
89,Don't You Worry Child,Swedish House Mafia,043bfUkTydw0xJ5JjOT91w,https://open.spotify.com/track/043bfUkTydw0xJ5JjOT91w,0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,audio_features,spotify:track:043bfUkTydw0xJ5JjOT91w,https://api.spotify.com/v1/tracks/043bfUkTydw0xJ5JjOT91w,https://api.spotify.com/v1/audio-analysis/043bfUkTydw0xJ5JjOT91w,403493,4
